Tipo,Nombre,Anno_estreno,Mes_estreno,Id_peli,Genero
Movie,Lashkar: The War Against Terror,2010,5,tt1620854,Action
Movie,Chasing Danger,2010,por estrenar,tt1625060,Action
Movie,Nayakan,2010,3,tt1626644,Action
Movie,Camp Chuck,2010,4,tt1626617,Action
Movie,Lucky Streak and the Crime Fighters,2010,6,tt1628011,Action
Movie,Hîrô shô,2010,5,tt1627056,Action
Movie,Bang fei,2010,3,tt1628840,Action
Movie,Trump Card,2010,3,tt1629424,Action
Movie,Pay in Full,2010,6,tt1630608,Action
Movie,Soch Lo,2010,4,tt1630613,Action
Movie,Ada... A Way of Life,2010,12,tt1633159,Action
Movie,Musaa: The Most Wanted,2010,4,tt1633226,Action
Movie,Dark Crossing,2010,4,tt1633341,Action
Movie,Meitantei Conan: Tenkuu no rosuto shippu,2010,4,tt1636815,Action
Movie,Gekijôban Gintama: Shin'yaku Benizakura hen,2010,4,tt1636780,Action
Movie,Mandie and the Cherokee Treasure,2010,1,tt1639082,Action
Movie,Sambo Siva Sambho,2010,1,tt1637995,Action
Movie,Khelein Hum Jee Jaan Sey,2010,12,tt1637691,Action
Movie,Blood Island,2010,por estrenar,tt1640408,Action
Movie,Belukar,2010,5,tt1640402,Action
Movie,24 Hrs,2010,6,tt1639312,Action
Movie,V3: Samseng jalanan,2010,3,tt1640617,Action
Movie,Indiana Jones und der Speer des Schicksals,2010,4,tt1639457,Action
Movie,Andartu Terlampau... 21 Hari Mencari Suami!,2010,5,tt1640401,Action
Movie,Henry,2010,3,tt1640130,Action
Movie,Toxic Lullaby,2010,7,tt1640193,Action
Movie,Kyonyû doragon: Onsen zonbi vs sutorippâ 5,2010,5,tt1642252,Action
Movie,All or Nothing,2010,por estrenar,tt1641918,Action
Movie,Don,2010,1,tt1643229,Action
Movie,Death Kappa,2010,11,tt1642193,Action
Movie,Yip Man chin chyun,2010,6,tt1641638,Action
Movie,Puranzetto,2010,5,tt1645129,Action
Movie,OTE,2010,4,tt1647458,Action
Movie,Wolf,2010,3,tt1648168,Action
Movie,Tres metros sobre el cielo,2010,12,tt1648216,Action
